"reference","base_summary","finetuned_summary","original_text"
"Good Seeds","Good flavor, but a little too salty.","Better tasting than David brand seeds","Seeds have a nice, nutty flavor.  Better tasting than David brand seeds.  Not the biggest seeds but definitely not too small either.  Another reviewer mentioned the high amount of sodium but I didn't notice.  In fact I thought they had less salt (taste wise anyway) than a lot of other brands."
"BLUEBERRY GRAHAM CRACKERS","I have to say that I was very surprised by how good these cookies are, great tasting blueberries. When I had the opportunity to try out these snacks","Great tasting blueberry graham cracker","Newtons Fruit Thins Blueberry Brown Sugar, 10.5-Ounce (Pack of4)<br /><br />I have to say that I was very surprised by how good these cookies are, great tasting blueberries. When I had the opportunity to try out these snacks I jumped on it and ordered them. I am a big blueberry fan, not sure if I have ever said that in another review but I love em. So I was really interested in trying this healthier type snack out, I am glad I did.<br /><br />Like I usually do I shared this with my girl, bro, and a few others and we all agree they are good. To be honest they taste just like a blueberry graham cracker, wonderful. Now it says pack of four on here but it really means four rows of these cookies. So you do get a lot snacks here so it is worth the price that they ask. Add in that they are made with real fruit, blueberry, and wonderful brown sugar and you get a great snack.<br /><br />This is a low carb and low calorie snack, but don't over do it as with everything else. I do recommend this nice little snack since it does taste good. Every one that tasted these with me agrees that they are indeed good. Try them out if you are a blueberry fan, they are really good."
"excellent baguettes","Best baguettes I've ever had.","Best baguettes I've ever had","Bar none, these baguettes are the best and the sub buns.  They taste normal and I attribute it to the tiny bit of sourdough in the ingredients - this is not found in their other breads which I don't care for as much.  The sourdough makes all the difference.  You have to finish baking these in the oven for 5 minutes and it's worth it.  I use these for hot subs, cold subs, garlic bread, bruscetta, french dips, philly cheese steak etc.  You won't be disappointed."
"Poor quality control","I give them to my dogs when I am around to make sure they don't choke. They love them. As with any rawhide chews","My dogs love them, but they have a serious quality control problem at the location in Mexico where they are produced/packaged","My vet recommended them for my dogs which are around 20 pounds each and just will not let me brush their teeth.  They love them.  As with any rawhide chews, I only give them to the dogs when I am around to make sure they don't choke.<br /><br />I have two dogs, so when I came out with only one chew at the end of a package, I started counting the contents of each package.  I have found between 28 and 31 chews per package. There are almost never 30 chews as stated on the package.  I thought that perhaps they were packaging them by weight instead of count but that turned out to be not true.  The weights of the various packages were considerably different.  I called and they just said to return the short packages to my vet for a refund.  I did this once and as a result the vet opened and counted the three packages she had on the shelf -- they had 28, 29 and 31 chews each.<br /><br />There is also a large variation in the size and color of the chews.  Some are very light and some are quite dark.  I currently have one chew that is 1""x1.5"" and paper thin, one that is 2""x3"" and 3/8"" thick, and one that is 2.5""x4"" and 1/4"" thick.  Some packages had mostly large ones and some packages had mostly small ones.<br /><br />I don't know whether they really help the dog's teeth or whether the chemical is bad for them.  But I do know that they have a serious quality control problem at the location in Mexico where they are produced/packaged."
"IT ACTUALLY WORKS!","This is the best smoker I have ever had.","Great for a Father's Day gift","I received this for Father's Day last year.  I was skeptical - but it actually works.  I can put some tri-tip in the smoker and hang in the pool or chat with guests while keeping an eye on the large LCD display. The range is very good, I can sit in the pool with the display next to me on the deck (at least 20-30 feet away) or go back inside the house. It beeps and talks to you a few minutes before your food is at the desired temperature.  I use it primarily for beef, and the settings (rare, medium, etc.) are pretty accurate. This is especially good for large cuts of beef since it is often difficult to gauge whether the meat is pink inside or not.  I would highly recommend this.  Easy to set-up, then all you do is select the type of meat and the desired cooking level.  Pork and seafood default to only one setting choice (well-done) but you can just use the temperature readout to cook to the desired temp."
"Gummy Colas? More Like Yummy Colas!","I love Haribo gummy colas. I eat a handful of these after my intense workouts because they contain dext","Haribo gummy colas","I love these delicious chewy gummy colas. I eat a handful of these after my intense workouts because they contain dextrose which has better bioavailabilty to your muscles. Oh yeah , I eat them when I am craving a sweet treat too. My husband and kids love them too. We love all Haribo gummy products because they taste great and they are enjoyable eat."
"Happy Camper!","I have a German Breed, G.Sheph. & he is very, very, PICKY! He loved them. He","G.Sheph is very, very, PICKY!","I have a German Breed, G.Sheph. & he is VERY, VERY, PICKY! He loved them. He is such a happy camper. He wakes up in the morning & ready to go for his walks & comes home straight to his treat cabinet, he wants his chicken stix....thank you, finally something that my boy loves...."
"These bag size are really addicting!!!","I usually eat the big bag Doritos, about 12.5 ounce. These are truly addicting because of its size, I finish 6","I can't wait any longer!","I usually eat the big bag Doritos, about 12.5 ounce.  I decided to buy this because the big bag weren't on sale and I can't wait any longer.  Amazon does a great job of not smashing the bag, it arrive to me perfectly.  These are truly addicting because of its size, I finish 6 bag a day on average.  When eating the big bag, after a while, I just get tire of eating and stop because there are too much, then it start becoming unrefreshed.  But these 1.75 ounce bag, I can't get enough, and every time I open a new bag, its fresh."
"Great Product","I really liked this product, it tasted much better than I thought it was going to and it was great eating an entire pint for only 128","Great ice cream","I really liked this product, it tasted much better than I thought it was going to and it was great eating an entire pint for only 128 calories.  It also satisfied my craving for ice cream, as it is very filling. I was concerned about the delivery of the product, but it arrived quickly and was in great condition, especially since it was sitting outside in 100 degree weather. I know that I will continue to buy this product, the only drawback is that it is rather pricey for only 6 pints."
"Ho Hum...","i'm a big fan of equal tablets, but i don't think they're worth the money.","i like them but i don't like the powdered kind","These are practical since you can carry one pack in your pocket or store it at the office, they don't contain sugarlike the powdered kind but i do have to use more of them since each tablet equals 1/2 packet, that being said i might try equal tablets since they are cheaper."
"Smaller package, still 200mL","Whiskas Cat Milk is a great treat for IBS sufferers.","Great buy for IBS kitty","The picture on the product page still shows the older, rectangular packaging. What arrived was 24 of the new, smaller containers but they hold the same amount of Whiskas Cat Milk. I applaud Whiskas for reducing the packaging but, since I'm a bit slow, I ordered this based on the picture of the old rectangular boxes. My local store started carrying the new packs and I, without bothering to read the fine print, thought they were selling less product for the same price. I'm glad I did though because this was a great buy (of course I now have over a 6 month supply but the ""Best By"" date is beyond the 6 months).<br /><br />I started giving this to my little IBS kitty every day because she was on a course of medicine that, although it was supposed to be tuna flavored, she wouldn't take. I mixed it into the Cat Milk and she lapped it up. After we'd finished up the medicine, she still asked for her Cat Milk treat so now I give it to her while I dish out everyone's canned food. It's a perfect distraction 'cause she used to try to ""help"" and be in the way ""testing"" each bowl as I dished out the canned food. I guess you could say the Cat Milk is a bribe but either the medicine worked or the Cat Milk helped (or both) 'cause she's put back on the weight she'd lost during her last Irritable Bowl bout (and when my vet weighed her he said keep on doing whatever it is you're doing)."
"A Pretty Good Snack, Healthy and Nutritious","These all natural healthy nutritious snack bars were created by a marketing genius, appealing to a lot of people. They taste good too! My wife like","All Natural Healthy Snack Bars","There's nothing artificial in these all natural healthy nutritious snack bars, each containing:<br />4g Sugar<br />7g Protein<br />5g Fiber<br /><br />They're also:<br /><br />Gluten Free<br />Low Glycemic<br />Cholesterol Free<br />Dairy Free<br />No Trans Fats<br />Very Low Sodium<br />Kosher<br /><br />These snack bars were created by a marketing genius, appealing to a lot of people. They taste good too! My wife likes them better than I do though. She plans on taking a few in her purse as she goes about her day. Kids probably won't like them that much, but who knows?"
"Not for the faint of heart...","This is a simple and effective meal supplement. It is not for the fly by night diet shake users who are used to highly sweetened questionable nutrition","Green-junk is a good source of protein, fiber, and omegas.","If you are looking for a good quality nutritional/meal supliment that is simple and effective this is the one.  The protein, fiber, and omegas available make this product hard to beat.  But it is not for the fly by night diet shake users who are used to highly sweetened questionable nutrition source.  It is an interesting green color with a rough grainy texture.  I enjoy mixing mine in smoothies (good non-fat greek yougrt, hemp/almond milk, berries...)or with organic apple juice. I keep it in a shaker container as I drink it as the heavier granuals will settle if left to sit. My coworkers make fun of it and call it my green-junk, but I am the satisfied one, and not the one tempted to raid the doughnuts or starving by the time lunch time hits. I also mix some up as a snack or before/after a work-out."
"taste just like cola","i'm allergic to coca cola","sparkling as you suck them","i took 4 of these to a party/club and had them with friends at 3am and everyone liked them. they were sparkling as you suck them. and the taste was very familiar to coca cola. i enjoyed it and so did the my friends who were impressed because they never had candy that were so sparkling in they're mouth before. i dont think i will buy it again because it contains ""corn syrup"" which i'm allergic too."
"Excellent, ginger treat!","These are a great little treat for the whole family!","Best Ginger Snaps I've Ever Tasted!","For years I have bought and used products from the Newman's Own line, and I have always loved them. So I was very pleased with these wonderful little cookies.<br /><br />Similar to other Newman's products, these are made with organic products (flour and sugar) under the Newman's Organics line and certified by the strict Oregon laws.<br /><br />As for the taste, excellent!!! The ginger is pretty strong in these, which I love. They are a hard, small cookie - perfect for dipping in hot tea. A serving size is 5 cookies with a low calorie count of only 130. There are no trans fats, only 180 mg sodium, and 12 sugars per serving.<br /><br />These make me think of autumn, cool weather, and hot tea. Recently when I had a cold and didn't feel like eating much, these little ginger snaps and hot tea were just the thing to revive my spirits!"
"Great for Stir-Fry and Fried Rice","Starport Foods' Brown Stir-fry sauce was perfect, great flavor, and reasonably priced for a huge gallon. I had to cook","Great Brown Stir-fry Sauce","I found Starport Foods through Twitter. I checked out their products and found this one to be suitable for my needs. I had to cook fried rice for 40 people and needed a large bottle of sauce. Starport Foods' Brown Stir-fry sauce was perfect, great flavor, and reasonably priced for a huge gallon. I was able to make vegetarian and meat versions too. Customer service for Starport Foods were great in providing nutritional information as well as recipes. I even got a tip on how to bake rice in the oven! I had enough left over to use at home to cook for my family.<br /><br />Rather than gathering all these different types of asian sauce ingredients (ie. garlic, ginger, sesame oil, soy sauce, chili paste) this one-step and easy-to-use sauce cuts my cooking time in half. I can make a stir-fry or fried rice in under 20 minutes! Glad I ordered this!<br /><br />I also don't understand the fuss with the one star review. Her complaint was that this sauce is not vegan because it has sugar in it. Not all (non ""organic"") sugar is processed with bone char. It sucks that she felt the company misinformed her. Her review has nothing to do with the quality of the flavor, use, and practicality of the product as well as the helpfulness of their customer service. Don't diss it if you didn't try it."
"The real stuff.","I'm a fan of One Coconut Water. It's a little pricey for what you get, but it's worth it.","One coconut water","Like a few of the people who wrote a review I was born and raised on a carribbean island... Barbabdos to be exact. When I came here I tried to find coconut water that actually,.. was coconut water and guess what , One coconut water is exactly that.<br />It taste like the young fresh coconut water that it clams to be from ... loook at the ingrediants no additives just coconut water. There is a difference between young coconuts and more aged coconuts. The older ones are much sweeter :) but the young ones are more refreshing and much healthier.<br />So if you dont know what you talking about..its not right to leave a negative review, because to really know the difference between coconuts you actually would have to taste the orginal product cut fresh and drink it out the nut.<br />One... Thanks.. I always crave coconut water during pregancy because there is nothing better than young cocnut water to keep a mother and her baby healthy and you have given me something wonderfull."
"One of their better flavors","This is one of the better Roland teas, with a distinct cinnamon taste that is pleasant and not overwhelming at all.","The best of the Roland teas","A lot of the Roland teas suffer from a distinct lack of flavor, making them all taste sort of the same.  But this one is one of the better ones, with a distinct cinnamon taste that is pleasant and not overwhelming at all.  If you see this on special, grab it.  It's certainly enough tea to last a while or share with others.  Recommended."
"Healthy Dogs","Innova is the best food I've ever had for my dogs.","My dogs are incredibly healthy with this food","My dogs are incredibly healthy with this food. The first time I purchased Innova, I set a bowl of it next to the IAMS they had been eating since birth (they were 2 and 4 years old at the time).  They refused to eat the IAMS.  They were overweight and have slimmed down to a healthy weight on the Reduced Fat food and I don't have to worry about their nutrition at all. Innova has everything they need. They have lots of energy, bright eyes and healthy, shiny coats.  The cost seems to be initially higher but they eat less so it is not that much more than other premium foods. I will never feed them anything else."
"i love seven seas viva italian","seven seas viva italian dressing","best italian salad dressing ever","it's the best italian salad dressing ever - i've been using it since i was a kid but it's not so easy to find anymore - just ordered six more bottles - i think i need to stock up - please keep the seven seas viva italian dressing here on amazon!"
"Ginger mints","I eat organic candied ginger for an upset stomach or when I'm craving something sweet and it's the only thing I have available. I","The only mints that taste like candied ginger","I eat organic candied ginger for an upset stomach or when I'm craving something sweet and it's the only thing I have available. I think these ginger mints taste much the same except for the texture. I was surprised at the pepper comment since candied ginger has a peppery spice flavor which is expected. They remind me of Altoids only slightly less intense. To my knowledge this is the only brand that makes organic mints in this flavor. At Amazon's current price point these would be a bargain even if they were not organic."
"Good, but not Quite Dark Enough","Good coffee at a very good price.","Good coffee at a very good price","This was good coffee at a very good price. I was hoping ""Dark Roast Espresso"" meant ""espresso roast"", but it's merely finely ground. Taste-wise, it seems more of a medium-dark than a dark roast. It's tasty, but lacks the citrus-like tang I prefer, though this might be best for most American coffee drinkers.<br /><br />Overall, this was a better than adequate coffee for an excellent price. If you're reading this, chances are you'll like the coffee. For those like myself that generally feel that the darker the roast, the better, it's still worth a buy for the cost, but don't get your hopes up for the wording on the package."
"Works but Nasty Taste","Try fenugreek and fennel seeds. Try horseradish tea.","Fenugreek and Fennel seeds are alright, but it taste weird.","I believe it works as recommended by my midwife. Fenugreek and Fennel seeds are known to aid lactation.<br /><br />Also try the leaves of the HORSERADISH TREE. For poor countries in Asia, this is one of the fave ingredients. I got my tree from an online website from Florida. If you live in a warm region, I highly recommend this. You can get it frozen in some Asian groceries.<br /><br />Fenugreek and Fennel seeds are alright, but it taste weird. I bought the tea but I decided to make my own. You can go and buy the seeds online or to your local Indian grocery store.<br /><br />But I think I'll stick with the the horseradish tree leaves. I highly highly recommend this plant. Do your research on books and on the internet. I add it to my soup and dishes or salad."
"Yum Yum!","I'm a huge fan of belly flops, but I've never had a problem with the lack of variety.","Great selection of belly flops","My co-workers and myself go through belly flops very quickly; we have a rotation and each person buys 2 bags when it is their turn.  Never had a problem with lack of variety and we all manage to eat them all up despite some of the odd flavors.  It's a mis-matched glorious bag of belly flops, take 'em like it comes because because there has been no complaints at this end."
"Don't Be Fooled!!","Don't buy this product if you're trying to lose weight.","Almost 30% sugar!","This product is almost 30% sugar! (18 grams out of 63 grams in the single-serve box) That's a greater sugar content than in ice cream or pecan pie, and much more than in Frosted Mini-Wheats. It's over four teaspoons of sugar. This single small box has 240 calories. Be careful with fat-free or low-fat products---they are often high in sugar and calories."
"Best instant, and better price than in-store","This coffee is the best I have ever had.","Best coffee I've ever had","A smooth, mellow flavor; in an effort to downsize I have given up making espresso and drip coffees and researched many brands of instant.  This one gets my vote for best flavor. It comes in jars that are beautiful for storing hardware or other small items and lining them up on a shelf.  I look at the hundreds of dollars I have spent on Amazon and have buyer's remorse for most of it.  This coffee is an exception: I will continue to buy it for as long as the price is this good and the quality stays the same."
"Great Rub for Pork and Lamb","Very nice, balance rub for pork OR lamb. Best if it is allowed to sit on the meat overnight and then grill the next day. Interesting blend","Very nice, balance rub for pork or lamb","Very nice, balance rub for pork OR lamb.  Best if it is allowed to sit on the meat overnight and then grill the next day.  Interesting blend that is slight spicy but really brings out flavor.  This is expensive, but you do not need very much for full effect.  I realize that I could blend my own but it is nice to reach in the pantry and come out with quick flavoring variety."
"favorite quick flavor","This is a k-cup coffee. It is not necessarily the best cup of coffee, but it is an excellent vanilla flavored coffee.","Great flavor of coffee!","We use k-cups almost daily, and more and more often we are finding this coffee to be the flavor of choice when we are in the mood for flavored coffee. It is not necessarily the best cup of coffee (which applies to k-cups in general), but an excellent vanilla flavored coffee, nonetheless."
"SO Goood!","I recently bought a 10 oz tub of these at the local market, and loved them so much that I am here to purchase the 5 ","YUM!","I recently bought a 10 oz tub of these at the local market, and loved them so much that I am here to purchase the 5 lb bag!!  These are so sinfully decadant; a perfect harmony of sweet chocolate and semi-tart bing cherries.  They are good size pieces too! (about the size of a quarter"
"Ditto....Just OK","Don't waste your time or money on this product.","Good service, but not worth the price","Ordered this product for a candy dish I keep for my fellow employees at work. I like to have a mix of hard candies for them so they can choose for themselves. Cherryfield Candy sent this product very fast... very good response to my order. Wrappings are cute, easy to open, nice sized small drop. But the one thing missing is the coffee taste. It's almost tasteless. My problem, I guess, is that I'm comparing it to another more expensive heavily-coffee-flavored larger hard candy. From the good price, I thought these might be smaller items, but with an equally strong coffee taste. I was wrong. I liked Cherryfield's service, but do not care for this product; I will not order these candies again. Out of 5 possible stars, I would give this product a 2 1/2."
"Happy to find","Great sour salt!","Great sour salt","I have some old Hungarian family recipes that call for sour salt and couldn't find this stuff anyplace. So I checked Amazon and was so happy to have found this. This tastes great in my stuffed cabbage and other dishes and the bulk packaging means I won't have to reorder any time soon."
"Good Bean 4 flavor pack","I ordered these items based on another review. I thought they would be a nice healtier alternative snack.br /> They arrived","Disappointing","I ordered these items based on another review.<br />I thought they would be a nice healtier alternative snack.<br />They arrived just fine, but I did not care for any of the flavors.<br />They had very little taste or were way too spicy to eat.<br />The texture when eating them was also unappealing.<br />They were disappointing."
"Teenage Daughter Loves It!","Love this pasta!","Great for a teenager who has a high gluten and wheat sensitivity","My teenage daughter recently was diagnosed with a disease and in the process they discovered she has a high gluten and wheat sensitivity.  This pasta has helped her adjust to the gluten free lifestyle enormously.  It tastes like regular pasta!  This gives her many quick meals for a teenager that is on the go constantly."
"My cat loves this stuff","I've been transitioning my 10 month old cat from dry to wet food. I really think it helped in the transition. We've also","Best wet food for my cat","Over the past 2 weeks I've been transitioning my 10 month old cat from dry to wet food. This is the only wet food that he really eats with enthusiasm. I really think it helped in the transition. We've also tried Wellness Core and EVO (also high quality foods) but he likes this stuff the best."
"No Beefs With These Beef Treats","In the world of dog treats, the Milo's Beef Jerkey is a slam dunk. They are made","The Milo's Beef Jerkey is a slam dunk.","In the world of dog treats the Milo's Beef Jerkey is a slam dunk. They are made of beef with some flavorings added. No fillers. No artificial colors. No artificial flavors. This is actually real food for your dog. Our two dogs can't get enough of the tasty Milo treats. Although called jerkey, the treats are soft enough to break apart with your hands.<br /><br />Sitting on the table at which I'm working is a bag of snacks with a picture of a famous, perky TV personality on the package. The first ingredients listed are: wheat flour, glycerin, beef, and of course olive oil. This second bag of treats isn't bad as far as mainstream dog snacks go, and there are more treats in the bag for the same money.<br /><br />Comparing ingredients, the Milo's wins this contest easily."
"Absolutely addictive!","Don't order these nuts if you are dieting!","YUM!","Do not order these nuts if you are dieting! Once you have tried them, you will want to keep eating, and keep eating. We call them ""D-mn you Heather nuts"", because she is my friend who brought them to my house and got me hooked. I only wish they came in bigger tins!"
"No More ""Tiny Bread""!  Two Artisan Baker Reviews","The Bob's Wonderful is the best bread mix!","Best Bread Mix","My mother and I are both weekly bakers- everything from scratch.  When my husband had to change to a gluten free diet- we tried everyting.<br /><br />While we LOVE the Pamelas Mix for waffles, pancakes, cobblers etc<br /><br />The Bobs Wonderful is the BEST bread mix- multiple trials, multiple seasons and two bakers.<br /><br />Gives you a normal loaf size  ( our joke is the bread you buy and all other mixes produce TINY BREAD.  little loaves or flat loaves)<br /><br />We followed the directions to a T  made no changes  aside from mixing all the wet ingredients, allowing to come to room temp adding the yeast and allowing to stand for 30 min before adding the mix and adding to the Zojurushi bread machine.<br /><br />This produced a moist, high loaf !<br /><br />YEY BOBS!"
"Thai Peanut Bake - great","This is a great way to make a big impression.","Great for a dinner party","Anyone who has used this brand knows how tasty all of the products are.<br /><br />I could not find this one in any of my local shops in my new neighborhood - so it was a great convinece to have it sent to the house.<br /><br />I used for a dinner party & all guests left w/ a packet - all very happy.<br /><br />Its an easy way to make a big impression."
"Love this product!!","Great chips!","Great chips!","I heard of these through my weight watchers magazine. They a had a $5 coupon code so I figured ""what the heck!"". WOW -- pop chips are amazing - every flavor is AWESOME! I particularly liked the salt & pepper. If you want crunch and flavor - these are for you!!"
"Wonderful, Bright Red Tomatoes Packed so Fresh I found two Leaves on the Tomatoes!","I am a food writer on Cooking Up A Storm All Over The World! at [...] and many of my chef friends were telling me about the Cent","Great deal!","I am a food writer on Cooking Up A Storm All Over The World! at [...] and many of my chef friends were telling me about the Cento Italian tomatoes; I can see why now.<br /><br />The tomatoes were packed whole and intact. And there is no need to buy sauce or puree when you buy these because the tomatoes in the can are packed in the sauce/puree! That is a great deal then as I didn't know this. I made the best Ravioli with an herbed marinara with these. I bought 12 huge cans and created a display on my baker's rack with them. I will buy these again, for sure.<br /><br />The convenience of using the Amazon Prime works out even better than I thought it would. I am telling all my friends about it and will contact Amazon about affiliate programs.<br /><br />Polly Motzko"
"The cat no longer hisses at me","Flannel is a dignified little guy.","Flannel's meds for the rest of his life","after about two weeks of twice daily blood pressure meds Flannel (15 yr old russian blue) was fed up and growling at anyone who would come near him.  He has a tiny appetite and hiding the pill was getting ridiculous at about a 50% success rate.  It took forever..... No longer the case.  He takes a couple licks at it and then swallows it up.  Perfect....!  He's a dignified little guy I hated the problem of prying his mouth open to give him meds and nothing else could promise me that he would get all of it in his mouth.<br /><br />He's going to have these meds for the rest of his life.....this is the best thing going."
"Also for shower doors, glass, and coffee machines","Works great on both and virtually any glass product as well as any chemical sensitive metals and tubing. Utilizes no harsh chemicals you find in other","Works great on hard water marks from shower doors and glass products","When checking on how to clean our Senseo pod coffee maker (requires citric acid to clean) we noticed others used this to clean hard water marks from shower doors and glass products.  Works great on both and virtually any glass product as well as any chemical sensitive metals and tubing. Utilizes no harsh chemicals you find in other cleaners that burn your eyes and eventially may destroy what you are cleaning, it is also green friendly."
"SMOKEHOUSE Products were all RECALLED in 2007","I do not understand why anyone would purchase ANY pet products made in China!!! Because they are CHEAP!","Pet products made in China are CHEAP!","I do not understand why anyone would purchase ANY pet products made in China!!! Because they are CHEAP!  Would YOU eat food made in China? All Smokehouse products were recalled in 2007, 'PetSmart has pulled various Smokehouse Brand dog treats off of their shelves. There have been reports of pets becoming ill after eating the treats, and as a precaution, PetSmart has removed the products.' Better research your pets food before you feed them if you want them to be around for awhile. Better to pay a little more than feeding your pet God only know what!"
"excellent product for your cats","I have the coolest cats ever-with some exotic in them-and this stuff is amazing and really they seem to love it! The price on amazon","Great Pet Food!","I have the coolest different cats ever-with some exotic in them-and this stuff is amazing and really they seem to love it! It does not make the poo smell bad and the digestive system of some of mine-do not tolerate much grain or gluten so that is VERY much a PLUS!  The price on amazon is better for a large-can (amount / per ounce) than i can find at local pet shops or stores.  So when you can get the free shipping it is REALLY awesome to have pet foods at your door-service too! I hope Amazon will just continue to make pet food / supplies to your home affordable and at a top price!  Sometimes though when i go to try to re order cannot find (the same deals)available.  So I just lurk and watch and wait sometimes til it is Offered again to make it affordable. Not sure why -that happens but i know i have to (watch it) to make sure i don't end up with a high shipping fee in my cart-prior to purchase."
"Oat Bran Extravaganza","Bergin's oat bran is a find--delivered right to my door!","Bergin's oat bran is a find--delivered right to my door!","This is a delicious, and wonderfully affordable oat bran. I make large batches of oat bran muffins as heart-healthy snacks for my family, and would go broke buying the same quantity of bran in small boxes at the supermarket or in the bulk food section of high-priced health food stores. Bergin's oat bran is a find--delivered right to my door!"
"Nutrition & Ingredient info...Almost as tasty as Snickers!","Definitely healthier than a Snickers and almost as tasty. Not a lot of ingredients I don't recognize. I ding it","Healthy granola bar, but not as sweet","Basically a chewy granola bar, but not as sweet.  Lots of peanuts packed in and then a thin layer of peanut butter on the bottom.  Fairly healthy (for a granola bar, which I guess isn't saying that much)  High in fat due to the peanuts, but the fat from peanuts is monounsaturated.  Not a lot of ingredients I don't recognize.  I ding it for using corn syrup and ""fractionated palm kernel oil.""<br /><br />Very filling due to the peanuts.  Definitely healthier than a Snickers and almost as tasty.<br /><br />Amazon doesn't list nutrition info on their food items so here it is:<br /><br />220 calories each bar, 110 from fat, cholesterol 0, 160 mg sodium<br />Total fat 13g, Sat. 3g, trans. 0, Polyunsat. 3.5, Monounsat. 6g<br />22 g carb, 3 g fiber, 12g sugar, 7g protein<br /><br />100% Vitamin E, 4% iron, 2% calcium, other vitamins 0<br /><br />If you've found this review helpful, please let me know!"
"Tasty for the number of calories","I've been looking for an afternoon coffee drink I didn't have to brew. They were easy to mix, tasty, and by mixing","Easy to mix, tasty, and easy to throw in a handbag or backpack","Ever since Cappucino Coolers mix became difficult to come by, I've been looking for an afternoon coffee drink I didn't have to brew. They were easy to mix, tasty, and by mixing  the powder with low fat or skimmed milk I saved calories. Frappucinos are  delicious, of course, but high in calories. Double Shots are lower in calories but not sweet enough for me. illy issimo is just as tasty as a Frappucino but weighs in at just 100 calories. And it beats the coolers, that had to be mixed, by being easy to throw in a handbag or backpack. I think I've found my new afternoon drink."
"Yummy as always","I'm really enjoying it and can't wait to buy the other flavours.","Great Candy","Apart from having to have this item sent to a friend in America who then posted it privately to me in Australia as Amazon can't send food items out of the country, I have nothing but good things to say.  The candy was delivered to my US friends very quickly and arrived here later in excellent shape.  I'm really enjoying it and can't wait to buy the other flavours."
"Just Opened my 4th Purchase","I loved the taste of Caffe Bomrad Torino.","Best coffee I've ever had","I received Caffe Bomrad Torino as a gift last Christmas.  When I opened the bag, the aroma of the beans made me want to try it immediately.  I went to their website to learn more about the coffee and how best to brew it.  My gift came with a new coffee grinder so I made it using my French Press.  I couldn't believe how good it tasted.  It wasn't oily and it didn't leave a bitter after taste.  After finishing my gift, I purchased my regular brand and couldn't believe how inferior it tasted, so I ordered some more.  It may seem pricey at first, but Kona coffee is a lot more and this is cheaper than buying a cup at the local coffee house."
"love these bars","I'm a big fan of the Genisoy Chocolate Fudge Brownie.","Best Protein Bar I've Ever Tasted","Of all of the nutrition bars that I have tried the Genisoy Chocolate Fudge Brownie is right up there in the top 4.  It doesn't taste like a protein bar - it tastes almost like a candy bar.  When I have a chocolate craving this bar can really satisfy it.  Even my husband (who hates nutrition bars) likes these."
"The best energy drink I have tried!","Best energy drink I have tried! The flavor could be described as ""earthy,"" and may take some getting used to for some people, but with","Best energy drink I have tried!","This tea is the best energy drink I have tried!  The flavor could be described as ""earthy,"" and may take some getting used to for some people, but with a little added sweetener it would be pretty good.  I prefer it plain. I have tried the regular yerba mate, but the ""Pure Endurance"" far surpasses that one as far as giving me good energy.  It puts me in a very good mood. It's worth every penny as far as I'm concerned!"
"Good Grahams","I like graham crackers, so how can you not rate them 5 stars? And they ARE Honey Maid.br /","Graham crackers are good, but not as good as Honey Maid's","I like graham crackers, so how can you not rate them 5 stars? And they ARE Honey Maid.<br />The only difference is this box has six packets, with 8 crackers to a packet. The only advantage I can see to this is taking them in your lunch or a picnic or something. I actually think 8 is a bit much for lunch. 4 or 6 and you could easily send them in your kid's lunch. So that is my one question to Honey Maid. What were they trying to accomplish?"
"Don't believe the hype!!","Don't waste your money on this soup.","I'm not a gluten free person...","I just recently switched to a gluten free diet and boy was I highly disappointed. I ordered this soup based on the comments of other users stating how tasty it was... don't believe the hype. It's quite disgusting.  First off, it's not set in broth but more of a creamy substance.  It was very salty so beware if anyone has high blood pressure.  The chicken bits tasted like rubber which I had to throw out... I guess for people who are solely on a gluten free diet, they don't have that many choices... thank god I'm not one of them.  I even gave some to my mother-in-law thinking maybe it's just me.  She didn't like it either.  I'm going back to my normal Campbell Chicken noodle soups."
"Last of the Hungry Jack","I am telling you I was lucky. I checked and found this to be the last two bottles in stock. With no fault of Amazon or the company my","Great deal!","I am telling you I was lucky. I checked and found this to be the last two bottles in stock. With no fault of Amazon or the company my item was lost, for a while and then made there way to my address. It was well worth the wait. I do not spill any of it and it taste great to the last drop. With these, I will have to make do, until, I find another good deal, such as this one! I was skeptical at first, being the syrup was in a plastic bottle, but the flavor is unreal. I would not trade or give these up for any other at this time. Thanks Amazon and affiliates for making this happen."
"Try it","I like this. The chocolate is great. The marshmallow is not the typical ""American marshmallow"" that I am used to. I like it. It has","I like it. The chocolate is great. The marshmallow is not the typical ""American marshmallow"" that I am used to.","I would recommend trying this. I like it. The chocolate is great. The marshmallow is not the typical ""American marshmallow"" that I am used to. I like it. It has that marshmallow feel to it but also has a bit of a crunch to it... almost like a light cookie crunch. For some reason it's fascinating to me. I'd love to know how they get the marshmallow center to do that... This product is something I will buy again."
